㐷	horse; knight
绅	member of gentry
细	thin or slender
织	weave
终	end
绉	crepe
绊	trip
绋	heavy rope
绌	crimson silk
绍	continue
绎	continuous
经	classics
绐	cheat
绑	tie
绒	velvet
结	knot
绕	wind
绖	hempen band worn on the head or waist by a mourner
绗	quilt
绘	draw; to paint
给	to
绚	adorned
绛	purple-red
络	small net
绝	cut short
绞	twist
统	gather
绠	well rope
绡	raw silk
绢	thin, tough silk fabric
绣	embroider; embroidery
绤	coarse hempen fabric
绥	pacify
绦	braid
继	continue
绨	coarse greenish black pongee
绩	spin
绪	beginnings
绫	damask
续	continue
绮	beautiful
绯	dark red
绰	ample; spacious
绱	sole a shoe
绲	cord
绳	rope
维	preserve
绵	cotton
绶	cord on a seal
绷	have a taut face
绸	silk
绹	bind
绺	skein
综	heddle
绽	burst open
绾	bind up
绿	green
缀	sew
缁	Buddhists
缃	light yellow color
缄	box
缅	Myanmar
缆	cable
缇	orange-red silk
缉	seize
缊	hemp
缋	multicolor
缌	fine linen
缎	satin
缏	braid
缑	rope attached to a sword hilt
缒	let down with a rope
缓	slow
缔	bind up inextricably
缕	strand
编	weave
缗	cord
缘	cause
缙	red silk
缚	bind
缛	adorned
缜	fine and dense
缝	sew
缞	mourning garments of coarse hemp
缟	plain white silk
缠	wind around
缡	bridal veil or kerchief
缢	die by hanging or strangulation
缣	thick waterproof silk
缥	light blue
缦	plain thin silk
缧	thick rope used to restrain a prisoner
缨	tassel
缩	withdraw
缫	reel silk from cocoons
缬	knot
缭	wind round
缮	repair
缯	tie
缰	bridle
缲	reel silk from cocoons
缳	bind
缴	hand in; to hand over; to pay
缵	inherit
缶	pottery
缸	jar
缺	deficiency
罂	earthen jar with small mouth
罃	earthen jar with long neck
罄	use up
罅	crack
罉	cooking pot
罍	large earthenware wine jar
罏	pile of earth to keep wine jars
罐	can
网	net; web
罒	net
罓	net
罔	deceive
罕	rare
罗	gauze
罘	place name
罚	punish; to penalize; to fine
罛	large fishing net
罝	net for catching rabbits
罟	implicate
罠	animal trap
罡	stars of the Big Dipper that constitute the tail of the dipper
罢	stop
罥	bird catching net
罦	net for catching birds
罨	foment
罩	cover; to spread over
罪	guilt
罫	squares of a chess board
罭	drag-net
置	install
罱	dredge with such a tool
署	office
罳	screen
罴	brown bear
罶	creel
罹	happen to
罻	bird net
罽	woolen rug
罾	large square net
罿	bird net
羁	bridle
羃	cover of cloth for food
羊	sheep; goat
羌	muntjac
羍	little lamb
美	beautiful
羑	lead
羔	lamb
羖	black ewe
羚	antelope
羜	five-month-old lamb
羝	billy goat
羞	shy
羟	hydroxyl
羡	envy
羢	wool of sheep
群	group
羧	carboxyl radical
羭	black ram
羯	castrate
羰	carbonyl
羱	large-horned wild goat
羵	spirit
羸	entangled
羹	thick soup
羼	mix
羽	feather
羿	name of a legendary archer
翀	soar
翁	elderly man
翃	swarm
翅	wing
翊	assist
翌	bright
翎	tail feathers
翏	the sound of the wind
翔	soar
翕	open and close
翘	stick up
翙	noise of bird's wings
翚	pheasant
翛	hastiness
翟	long-tail pheasant
翠	bluish-green
翣	wooden fan carried in procession
翥	soar
翩	fly fast
翪	uneven flight of a bird
翮	quill
翯	glistening plumage of birds
翰	writing brush
翳	feather screen
翻	turn over
翼	wing
翾	flirtatious
翿	feather banner or fan
耀	brilliant
老	old
考	beat
耄	extremely aged
者	one who ...
耆	man of sixty or seventy
耇	wrinkled face of the elderly
耋	aged
而	and
耍	play with
耏	beard
耐	bear; to endure; to withstand
耒	plow
耔	hoe up soil around plants
耕	plow
耖	level ground with such an implement
耗	waste
耘	weed
耙	a hoe
耜	plow
耝	plow
耞	flail
耠	a hoe
耡	hoe
耢	level the ground by dragging this tool
耤	plow
耦	a pair
耧	drill for sowing grain
耨	hoe
耩	plow
耪	hoe
耰	harrow
耲	cultivate with a harrow
耳	ear
耶	interrogative particle
耷	big ears
耸	excite
耻	shame; humiliation; disgrace
耽	indulge in
耿	bright; brilliant
聂	whisper
聃	ears without rim
聆	hear; to listen
聊	chat
聋	deaf
职	office
聎	tinnitus
聒	raucous
联	antithetical couplet
聘	employ; to appoint
聚	assemble; to gather
聝	cut off the left ear of the slain
聩	born deaf
聪	acute
聱	difficult to pronounce
聿	then
肃	respectful
肄	learn
肆	four
肇	at first
肉	meat
肋	rib
肌	flesh; muscle
肏	fuck
肓	region between heart and diaphragm
肖	similar
肘	elbow
肙	a small worm
肚	tripe
肛	anus; rectum
肝	liver
肟	oxime
肠	intestines
股	thigh
肢	limb
肤	skin
肥	fat
肩	shoulder
肪	animal fat
肫	gizzard
肯	agree; to consent
肰	dog meat
肱	upper arm
育	have children
肴	meat dishes
肵	table
肷	the part of the side of the body between the ribs and the hipbone
肺	lung
肼	hydrazine
肽	peptide
肾	kidney
肿	swell
胀	swell; to distend; to expand
胁	flank
胂	arsine
胃	stomach
胄	helmet
胆	gall bladder
胊	yoke
背	carry on one's back
胍	guanidine
胎	fetus
胏	dried meat with bone
胑	wings of birds
胔	rotten meat
胖	fat
胗	gizzard
胙	grant or bestow
胚	embryo
胛	shoulder blade
胜	victory
胞	placenta
胠	flank of animal
胡	why?
胤	descendant
胥	all
胦	the navel
胩	carbylamine
胪	belly
胫	lower part of leg
胭	rouge
胯	crotch
胰	pancreas
胲	hydroxylamine
胳	armpit
胴	large intestine
胶	glue
胸	chest
胹	overcooked
胺	amine
胻	calf
能	can
胾	cut meat into pieces
脂	fat
脆	brittle
脉	arteries and veins
脊	spine; backbone
脍	chopped meat or fish
脏	dirty
脐	the navel; the umbilicus
脑	brain
脒	amidine
脓	pus
脔	skinny
脖	neck
脘	internal cavity of stomach
脚	foot
脝	fat
脞	chopped meat
脡	brisket meat
脢	meat on the back of an animal
脤	sacrificial meat
脩	dried; withered
脬	bladder
脯	chest
脰	neck
脱	shed
脲	carbamide
脶	fingerprint
脷	tongue
脸	face
脾	spleen
腄	callus on the hand or foot
腆	make strong
腈	acrylic
腊	dried meat
腋	armpit; axilla; axil
腌	salt
腍	be satiated
腐	decay
腑	internal organs
腒	dried poultry
腓	calf of leg
腔	cavity
腕	wrist
腘	knee pit
腙	hydrazone
腚	buttocks
腜	quickening of the fetus
腠	the tissue between the skin and the flesh
腥	fishy
腧	acupuncture point
腩	brisket
腬	greasy
腭	palate
腮	cheek
腯	fat
腰	the waist and lower back
腱	tendon
腴	fat on belly
腶	dried meat
腹	abdomen
腺	gland
腻	greasy
腾	gallop; to prance
腿	leg
膀	puffed
膂	backbone
膆	fat
膇	swelling of foot
膈	diaphragm
膊	shoulder
膋	fat on intestines
膏	moisten
膔	stomach rumbling; borborygmus
膗	grossly overweight; obese
膘	fat
膙	callus
膛	hollow space
膜	membrane
膝	knee
膟	sacrificial flesh
膣	vagina
膦	phosphine
膨	swollen
膫	male genitals
膰	cooked meat used in sacrifice
膳	meals
膴	big piece of meat
膵	pancreas
膷	hashed beef
膺	breast
膻	fetid; gamy; rank
臀	buttocks; hips; rump
臁	sides of the lower part of the leg
臂	arm
臄	palate
臆	chest; breast
臇	fat, rich
臊	shame
臌	dropsical
臐	lamb soup
臑	biceps
臖	swell
臛	meat broth
臣	I, your servant
臧	good
自	self; oneself
臬	guidepost
臭	stench
臲	tottering
至	arrive
致	fine; delicate; exquisite
臻	arrive
臼	mortar
臽	pit; hole in the ground
臾	a moment
臿	separate the grain from the husk
舀	ladle out; to scoop up
舁	lift
舂	pound with a mortar and pestle
舄	shoe
舅	maternal uncle
舆	chassis of a carriage
舋	quarrel
舌	tongue
舍	residence; house
舐	lick
舒	stretch
舔	lick
舛	mistaken
舜	Shun , mythical sage and leader
舞	dance
舟	boat
舠	kayak
舡	boat
舢	sampan
舣	moor a boat to the bank
舨	sampan
航	boat
舫	2 boats lashed together
般	sort
舭	bilge
舰	warship
舱	cabin
舲	small boat with a windowed cabin
舳	poopdeck
舵	helm
舶	ship
舷	side of a ship or an aircraft
舸	barge
船	boat
舺	boat
舻	bow of ship
艄	stern of boat
艇	boat; craft
艉	aft
艎	fast ship
艏	bow of a ship
艑	skiff
艕	two boats fastened side by side
艖	raft
艗	bow of a Chinese boat
艘	classifier for ships
艚	seagoing junk
艜	a long narrow vessel with two masts
艩	tholepin
艬	large ship
艭	boat
艮	blunt
良	good
艰	difficult
色	color
艳	amorous; romantic
艴	angry
艺	skill
艾	Chinese mugwort ; moxa
节	joint; node
芃	luxuriant growth
芄	Metaplexis stauntoni
芈	bleat
芊	green
芋	taro
芍	Chinese peony
芑	Panicum miliaceum
芒	awn
芕	a kind of medicinal herb
芗	aromatic herb used for seasoning
芘	Malva sylvestris
芚	green sprout
芜	overgrown with weeds
芝	Zoysia pungens
芞	a kind of aromatic herb
芟	cut down
芡	Gorgon plant
芤	hollow
芥	mustard
芦	reed
芧	Scirpis maritimus
芨	Bletilla hyacinthina
芩	Phragmites japonica
芫	lilac daphne , used in Chinese herbal medicine
芬	perfume
芮	small
芯	the pith of the rush plant
芰	water caltrop
花	flower
芳	fragrant
芴	vaguely
芷	angelica
芸	common rue
芹	Chinese celery
芼	select
芽	bud
芾	luxuriance of vegetation
芿	weeds that regrow from cut-down roots
苁	Boschniakia glabra
苄	benzyl
苇	reed
苈	Drabanemerosa hebecarpa
苉	picene
苊	acenaphthene
苋	amaranth
苌	plant mentioned in Book of Songs, uncertainly identified as carambola or star fruit
苍	dark blue
苏	revive
苑	center
苒	luxuriant growth
苓	fungus
苔	moss; lichen; liverwort
苕	reed grass
苗	Miao ethnic group
苘	Indian mallow
苙	pigsty
苛	severe
苜	clover
苞	bud
苟	if indeed
苠	multitude
若	seem
苦	bitter
苧	limonene
苪	bright
苫	straw mat
苯	benzene
英	hero
苴	sack cloth
苶	weary
苷	licorice
苹	duckweed
苻	Angelica anomala
苾	fragrant
茀	luxuriant growth
茁	sprout
茂	luxuriant
范	pattern
茄	eggplant
茅	reeds
茆	thatch
茇	betel
茈	Common Gromwell or European stoneseed
茍	urgent
茎	stalk
茏	Polygonum posumbu
茑	parasitic mistletoe , esp. on the mulberry
茓	store grain by enclosing it in a woven mat rolled into a vertical cylinder
茔	a grave
茕	alone
茖	allium victorialis
茗	Thea sinensis
茚	indene
茛	ranunculus
茜	Indian madder; munjeet
茞	fragrant plant
茠	weed
茢	rushes
茥	Rubus tokkura
茦	pointed grass blade
茧	cocoon
茨	Caltrop or puncture vine
茫	hazy
茬	stubble
茭	Zizania aquatica
茴	fennel
茵	mattress
茶	tea
茷	denseness of grass-foliage
茸	soft and fine; downy
茹	eat
茻	vegan
茽	vegetation growing thickly
荀	name of a plant mentioned in ancient texts
荁	Viola vaginata
荄	roots of plant
荆	chaste tree or its berry
荇	yellow floating heart
荈	Thea sinensis
草	grass
荏	beefsteak plant
荐	recommend
荑	weed
荒	desolate
荔	litchi
荙	plantago major
荚	pod
荛	fuel
荜	bean
荝	plant genus Aconitum, aka monkshood or wolf's bane
荞	common mallow
荟	flourish
荡	wash
荣	glory
荤	strong-smelling vegetable
荦	brindled ox
荧	a glimmer
荩	Arthraxon ciliare
荪	fragrant grass
荫	shade
荮	wrap with straw
药	medicine
荵	polemonium
荷	lotus
荻	Anaphalis yedoensis
荼	thistle
荽	coriander
莅	attend
莎	katydid
莒	alternative name for taro
莓	berry
莔	Fritillaria verticillata
莕	Nymphoides peltatum
莘	long
莙	species of water plant
莚	bamboo mat
莛	stalk of grass
莝	chop straw fine for animals
莞	smile
莠	Setaria viridis
莦	jungle grass
莨	Scopalia japonica maxin
莩	culm
莪	zedoary , plant rhizome similar to turmeric
莫	do not
莰	camphane C10H18
莱	name of weed plant
莲	lotus
莳	grow
获	reap; to harvest
莸	Caryopteris divaricata
莹	luster of gems
莺	oriole or various birds of the Sylvidae family including warblers
莽	dense growth of grass
莿	Urtica thunbergiana
菀	luxuriance of growth
菁	leek flower
菂	lotus seed
菅	Themeda forsbali
菆	arrow
菇	mushroom
菉	Arthraxon ciliare
菊	chrysanthemum
菌	mushroom
菎	beautiful jade
菏	He river in Shandong
菐	thicket
菑	weed
菓	fruit
菔	turnip
菕	tree
菘	Brassica chinensis
菜	vegetable; greens
菟	dodder
菠	spinach
菡	lotus blossom
菢	hatch
菣	Artemisia apiacea
菧	stibene
菪	henbane
菫	violet
菱	water caltrop
菲	poor
菶	expand
菸	wither
菹	marshland
菺	Althaea rosea
菻	ancient name for east Roman empire
菼	Miscanthus sacchariflorus
菽	legumes
菾	sugar beet
萁	stalks of pulse
萃	collect
萆	castor seed
萋	Celosia argentea
萌	sprout; to bud
萍	duckweed
萎	wither
萏	lotus
萑	a kind of reed
萘	naphthalene C10H8
萚	fallen leaves and bark
萜	terpene
萝	radish
萤	firefly
营	camp
萦	wind around
萧	Chinese mugwort
萩	Lespedeza bicolor
萰	Ampelopsis japonica
萱	orange day-lily
萻	small Buddhist temple
萼	calyx of a flower
落	leave out
葄	straw cushion
葆	dense foliage
葇	Elsholtria paltrini
葍	weeds
葎	Humulus japonicus
葑	turnip
葖	radish; daikon
著	make known
葛	kudzu
葡	Portugal
董	supervise
葥	Rubus palmatus
葧	Heleocharis plantaginea
葩	corolla of flower
葬	bury
葭	the young shoot of a reed
葱	scallion
葳	luxuriant
葴	Physalis alkekengi
葶	Draba nemerosa bebe carpa
葸	feel insecure
葹	Xanthium strumarium
葺	repair
葽	Polygala japonica
蒂	stem
蒇	complete
蒉	Amaranthus mangostanus
蒌	Arthemisia vulgaris
蒎	pinane
蒐	madder
蒗	place name
蒙	blind
蒜	garlic
蒟	betel
蒢	hedysarum
蒦	measure
蒨	luxuriant growth
蒪	myoga ginger
蒯	a rush
蒲	bullrush
蒴	pod
蒸	evaporate
蒹	reed
蒺	Tribulus terrestris
蒻	young rush , a kind of cattail
蒽	anthracene
蒿	celery wormwood
蓁	abundant, luxuriant vegetation
蓄	store up
蓉	paste made by mashing beans or seeds etc
蓊	luxuriant vegetation
蓌	squat
蓍	yarrow
蓏	fruit of plants
蓐	mat
蓑	rain coat made of straw etc
蓒	a kind of smelly water plant
蓔	a variety of grass
蓖	the castor-oil plant
蓝	blue
蓟	cirsium
蓠	red algae
蓥	polish
蓦	leap on or over
蓧	bamboo basket
蓪	Aralia papyrifera
蓫	Phytolacca acinosa
蓬	fleabane
蓰	increase five fold
蓷	Leonurus macranthus
蓺	skill
蓼	polygonum
蓿	clover
蔀	cover; to shelter
蔂	entwine
蔃	cigarette
蔇	luxuriant growth
蔉	bank up the roots of plants
蔊	Nasturtium montanum
蔋	dry
蔌	vegetables
蔎	Thea sinensis
蔑	belittle
蔓	spread; to extend
蔗	sugar cane
蔘	ginseng
蔚	place name
蔫	fade
蔬	vegetables
蔯	a variety of artemisia
蔸	classifier for pieces and clumps
蔹	trailing plant
蔺	juncus effusus
蔼	friendly
蔽	cover
蔾	chenopodiaceae
蕃	foreign
蕈	mold
蕉	banana
蕊	stamen
蕍	common water-plantain
蕑	Eupatorium chinensis
蕔	a kind of grass
蕖	lotus
蕗	leucacene
蕙	Coumarouna odorata
蕝	coarse grass used to show rank
蕞	assemble
蕡	hemp seeds
蕣	Hibiscus syriacus
蕤	fringe
蕨	Pteridium aquilinum
蕮	plantain
蕰	hippuris or mare's tail
蕲	implore
蕳	orchid
蕴	accumulate
蕶	withered
蕸	water-lily leaves
蕹	water spinach or ong choy , used as a vegetable in south China and southeast Asia
蕺	Houttuynia cordata
蕻	luxuriant; flourishing
蕾	bud
薃	Cyperus amuricus
薄	thin
薅	weed
薆	cover
薇	Osmunda regalis, a species of fern
薉	weedy
薐	old name for spinach
薖	broad; spacious; vast
薛	wormwood like grass
薜	Ficus pumila
薢	woody climbing plant
薤	Allium bakeri
薧	dried food
薨	death of a prince
薪	firewood; fuel
薮	marsh
薯	potato
薰	sweet-smelling grass
薶	make dirty
薸	duckweed
薹	Carex dispalatha
薾	luxuriant growth of flower
薿	luxuriant
藇	beautiful
藉	cushion; mat
藋	Sambucu javinica
藏	conceal
藐	despise
藓	moss
藕	root of lotus
藘	madder
藙	Zanthoxylum ailanthoides
藚	Alisma plantago
藜	name of weed plant
藟	bud
藤	rattan
藦	Metaplexis stauntoni
藩	fence; hedge
藴	hold in store
藻	aquatic grasses
藿	Lophanthus rugosus
蘁	disobey
蘅	Asarum blumei
蘑	mushroom
蘖	new shoot growing from cut branch or stump
蘘	a kind of wild ginger
蘝	liana
蘧	Dianthus superbus
蘩	Artemisia stellariana
蘵	Physalis angulata
蘸	dip in
蘻	a kind of herb
蘼	millet
虀	fragment
虍	stripes of a tiger
虎	tiger
虏	prisoner of war
虐	brutal; oppressive; harsh
虑	think over
虒	amphibious animal with one horn
虓	roar of a tiger
虔	act with reverence
虖	exhale
虚	emptiness
虞	expect; to anticipate
虡	bell pendant stand
虣	cruel
虩	terrified
虫	person with a particular undesirable characteristic
虬	young dragon with horns
虮	nymph of louse
虱	louse
虷	worm
虹	rainbow
虺	sick
虻	horsefly
虽	although
虾	shrimp
虿	an insect
蚀	nibble away at sth
蚁	ant
蚃	insect larva
蚆	a kind of shell
蚈	firefly
蚊	mosquito
蚋	Simulia lugubris
蚌	mussel
蚔	green-frog
蚕	silkworm
蚖	Protura
蚛	nibble
蚜	aphis
蚝	oyster
蚤	flea
蚨	money
蚩	ignorant
蚱	grasshopper
蚲	rice weevil
蚳	ant eggs
蚴	larva
蚵	oyster
蚶	small clam
蚹	snail
蚺	boa
蚻	Aphrophora martima
蚽	a kind of insect
蚿	millipede
蛀	termite
蛁	Pomponia maculatiocollis
蛅	a caterpillar
蛆	maggot
蛇	snake
蛉	sandfly
蛊	poison
蛋	egg
蛌	cricket
蛎	oyster
蛏	mussel
蛑	marine crab
蛓	caterpillar
蛔	roundworm
蛘	a weevil found in rice etc
蛙	frog
蛚	Cyrtoxiphus ritsemae
蛛	spider
蛜	woodlouse
蛟	a legendary dragon with the ability to control rain and floods
蛡	honeycomb; beehive
蛣	beetle
蛤	clam
蛩	anxious
蛭	fluke
蛮	barbarian
蛰	hibernate
蛲	parasitic worm
蛳	snail
蛸	octopus
蛹	chrysalis
蛾	moth
蜂	bee
蜃	giant clam
蜅	crab
蜇	sting
蜊	clam
蜎	larva of mosquito
蜑	Tanka people
蜒	slug
蜕	skin cast off during molting
蜗	snail
蜚	fly; to spread
蜛	Hydrophilus cognatus
蜜	honey
蜡	candle
蜢	grasshopper
蜣	dung beetle
蜥	lizard
蜩	cicada
蜮	creature that lives underwater and spits sand to make people ill
蜱	tick
蜷	curl up
蝇	fly
蝈	small green cicada or frog
蝉	cicada
蝍	a centipede
蝎	scorpion
蝒	locust
蝗	locust
蝘	Hemidactylus bowringii
蝝	locust larva without wings
蝠	bat
蝮	insect
蝶	butterfly
蝻	locust nymph
蝽	bedbug
蝾	salamander
螀	cicada
螈	salamander
融	melt
螒	Aulacophora femoralis
螓	small cicada with a square head
螗	variety of small cicada with a green back and a clear song
螘	ant
螚	Eristalis tenax
螟	boring insect
螠	echiuroid
螣	flying dragon
螨	mite
螫	sting or bite
螭	dragon with horns not yet grown
螯	chela; nippers; claw; pincers
螳	praying mantis
螺	spiral shell
螽	Gompsocleis mikado
螾	the earthworm
蟅	locust
蟆	toad
蟊	Spanish fly
蟒	python
蟓	silkworm
蟠	coil
蟥	horse-leech
蟨	Siberian jerboa
蟭	eggs of mantis
蟷	mantis
蟹	crab
蟺	earthworm
蟾	toad
蟿	Tryxalis masuta
蠂	Podisma mikado
蠉	wriggler
蠋	caterpillar
蠓	midge
蠕	squirm
蠖	looper caterpillar
蠚	sting
蠜	cyrtophyllus sp.
蠡	calabash
蠢	stupid
蠮	wasp of the family Sphecidae
蠰	Cerambyx rugicollis
蠲	remit; to exempt
蠸	Aulacophora femoralis
蠹	moth-eaten
蠽	small green cicada
血	blood
衁	blood
衄	bleed from the nose
衅	quarrel
衈	the blood of a sacrificial fowl which was sprinkled on doors and vessels
衉	vomit
衋	sad
行	row; line
衍	spread out
衎	pleased
衒	boast
衔	bit
街	street
衙	office
衞	guard
衡	weigh
衢	thoroughfare
衣	dress
补	repair
表	watch
衩	open seam of a garment
衫	garment
衬	against the skin
衭	the lapel of a garment
衮	imperial robe
衰	decay; to decline; to wane
衲	cassock
衵	women's undergarments
衷	inner feelings
衹	robe of a Buddhist monk or nun
衽	lapel
衾	coverlet
衿	collar
袁	long robe
袂	sleeve of a robe
袄	coat
袅	delicate
袆	a queen's ceremonial gowns
袋	pouch
袍	gown
袒	bare
袖	sleeve
袗	unlined garment
袚	knee-pads
袜	socks
袟	book cover
袤	length
袪	sleeve opening
被	quilt
袭	raid; to attack
袮	You
袱	a cloth used to wrap or cover
袲	place name
袺	lift up a dress
袼	gusset
袽	old rags
裀	mat
裁	cut out
裂	split
装	adornment
裆	crotch
裈	pants
裉	side seam in an upper garment
裍	a border or band on the edge of a dress
裎	take off one's clothes
裒	collect
裔	descendants
裕	abundant
裘	fur
裙	skirt
裛	wrap and bind
裢	pouch hung from belt
裤	underpants
裥	fold or pleat
裨	benefit
裯	bed curtain
裰	mend clothes
裱	hang
裲	waistcoat
裳	lower garment
裴	long and flowing
裸	naked
裹	wrap around
裼	baby's quilt
裾	garment
褂	Chinese-style unlined garment; gown
褉	short garments
褊	narrow
褎	sleeve
褐	brown
褒	praise
褔	full up
褕	loose garment
褙	paper or cloth pasted together
褚	padding
褟	inner shirt
褡	pouch
褢	wrap, to conceal
褥	mattress
褦	ignorant
褧	monotone garment with no lining
褪	slip out of sth
褫	strip
褰	lift
褱	wrap, to conceal
褵	bride's veil or kerchief
褶	pleat
褽	collar
褾	cuff
襁	string of copper coins
襄	assist
襋	coat collar
襌	garment without a lining
襕	full length gown
襚	grave-clothes
襛	bright light
襜	the front of clothes
襞	creases
襟	lapel
襡	short skirt or tunic
襢	unadorned but elegant dress
襦	jacket
襭	carry with the front of a robe
襮	embroidered collar
襶	untidy
襻	button loop
襼	sleeve of dress
襽	brocade
襾	cover
西	west
要	demand; to coerce
覂	throw a rider
覃	deep
覅	must not; please don't
覆	cover
覗	peek
覜	have an audience
见	see
观	look at
规	compass
觅	seek
视	look at
觇	observe
览	look at
觉	feel
觊	covet
觋	wizard
觌	face to face
觍	shameful
觎	desire passionately
觏	complete
觐	have an audience with the Emperor
觑	spy
角	role
觖	dissatisfied
觚	goblet
觝	butt
觞	feast
觡	horns
解	divide
觥	big
触	touch
觩	bent upwards
觭	odd
觯	goblet
觱	fever
觳	ancient measuring vessel
觷	polish horn
觺	sharp
觼	buckle
觿	ivory bodkin for undoing knots
言	words
訄	coerce sb
訇	sound of a crash
訑	arrogant
訚	respectful
訧	fault
訬	clamor
訹	beguile with false stories
訾	slander
詅	sell
詈	curse
詊	pleasing
詑	cheat
詟	be frightened
詨	kind of cicada, cosmopsaltria
詹	verbose
詻	harsh
誂	tempt
誃	separate
誉	praise
誊	transcribe; to copy out
誓	oath
誙	definitely
誧	huge
諆	deceive; to cheat
諕	intimidate
諵	mumble in repetition
謆	beguile
謇	speak out boldly
謋	sound of flesh being separated from the bone
謍	humming sound
謑	shame
謦	cough slightly
謪	discuss
謷	greatness
謼	shout
譅	talkative
譈	dislike
譊	wrangling, contention, to dispute
譒	promulgate
警	alert
譩	belch
譬	give an example
譶	talk fast
譹	shout
讆	exaggerate
讇	talk in one's sleep
讘	talk a lot
讠	"speech" or "words" radical in Chinese characters
计	calculate
订	agree
讣	report a bereavement
认	recognize
讥	ridicule
讦	accuse
讧	strife
讨	invite
让	yield
讪	mock
讫	finished
训	teach; to train; to admonish
议	comment on
讯	ask; to inquire
记	record
讱	slow in speech
讲	speak
讳	avoid mentioning
讴	sing
讵	how
讶	astounded
讷	speak slowly
许	allow
讹	error
论	opinion
讼	litigation
讽	satirize
设	set up; to put in place
访	seek by inquiry
诀	bid farewell
证	admonish
诂	comment
诃	scold
评	discuss
诅	curse
识	know
诇	spy
诈	cheat
诉	complain
诊	examine or treat medically
诋	defame
诌	make up
词	word
诎	bend
诏	admonish
诐	unfair
译	translate
诒	present
诓	mislead
诔	eulogize the dead
试	test
诖	deceive
诗	poem
诘	question closely; to interrogate
诙	whimsical
诚	sincere; authentic
诛	put to death
诜	inform
话	dialect
诞	birth
诟	disgrace
诠	explain
诡	sly; crafty
询	ask about
诣	go
诤	admonish
该	should
详	detailed
诧	be surprised
诨	jest
诩	brag
诪	curse
诫	commandment
诬	accuse falsely
语	dialect
诮	ridicule
误	mistake
诰	enjoin
诱	induce; to entice
诲	teach
诳	deceive; to dupe
说	persuade
诵	read aloud
诶	sigh
请	ask
诸	all
诹	choose
诺	consent
读	comma
诼	complain
诽	slander
课	subject
诿	shirk
谀	flatter
谁	who
谂	know
调	transfer
谄	flatter
谅	show understanding
谆	repeatedly
谇	abuse
谈	speak
谉	investigate
谊	friendship
谋	plan
谌	faithful
谍	spy
谎	lies
谏	remonstrate
谐	harmonious
谑	joy
谒	visit
谓	speak
谔	honest speech
谕	order
谖	deceive
谗	slander
谙	be versed in
谚	proverb
谛	examine
谜	riddle
谝	brag
谞	ability and wisdom
谟	plan
谠	honest
谡	composed
谢	thank
谣	popular ballad
谤	slander
谥	posthumous name or title
谦	modest
谧	quiet; peaceful; tranquil
谨	cautious
谩	deceive
谪	blame
谫	shallow
谬	false; erroneous; absurd
谮	slander
谯	ridicule
谰	make a false charge
谱	chart
谲	deceitful
谳	decide judicially
谴	censure
谵	rant; to rave; to be delirious
谶	prophecy; omen
谷	grain
谽	a mouth or opening
豁	opening
豅	long and wide valley
豆	legume; pulse; bean; pea
豉	salted fermented beans
豊	ceremonial vessel
豋	ceremonial vessel
豍	pea
豏	half-grown beans
豕	hog
豖	a shackled pig
豗	clash
豚	suckling pig
豜	fully grown pig
豝	corned beef
豞	grunting of pigs
象	elephant
豢	rear
豦	a wild boar
豨	swine
豪	grand
豫	happy
豭	boar
豮	gelded pig
豱	short-headed pig
豳	name of an ancient county in Shaanxi
豵	litter of pigs
豷	breathing of pigs
豸	worm-like invertebrate
豹	leopard
豺	dog-like animal
豻	jail
貂	sable or marten
貆	badger
貉	raccoon dog
貊	name of a wild tribe
貌	appearance; looks; outward form
貘	tapir
貤	promote
賏	pearls or shells strung together
賥	money and property
賨	tribute paid by Han dynasty tribes
賮	farewell presents
贉	pay an advance
贕	still-born chick
贝	cowrie
贞	chaste
负	bear
贡	offer tribute
财	money
责	duty
贤	worthy or virtuous person
败	defeat
账	account
货	goods
质	character
贩	deal in
贪	have a voracious desire for
贫	poor
贬	diminish
购	buy
贮	store
贯	pierce through
贰	two
贱	inexpensive
贲	bright
贳	borrow
贴	stick
贵	expensive
贶	bestow
贷	lend on interest
贸	commerce
费	cost
贺	congratulate
贻	present
贼	thief; robber
贽	gifts to superiors
贾	merchant
贿	bribery
赀	estimate
赁	rent
赂	bribe
赃	stolen goods; loot; spoils
资	resources
赅	complete
赆	farewell presents
赇	bribe
赈	provide relief
赉	bestow
赊	buy or sell on credit
赋	poetic essay
赌	bet; to gamble
赍	harbor
赎	redeem
赏	bestow
赐	confer; to bestow; to grant
赒	give to the needy
赓	continue; to carry on
赔	compensate for loss
赕	pay a fine in atonement
赖	depend on
赗	gift to a bereaved family
赘	superfluous
赙	contribute to funeral expenses
赚	earn
赛	compete
赜	mysterious
赝	false
赞	praise; to laud
赟	good appearance
赠	give as a present
赡	support
赢	beat
赤	red
赦	pardon
赧	blushing with shame
赩	red
赪	deep red
赫	awe-inspiring
赭	ocher
赯	red
走	walk
赴	go
赵	surpass
赶	overtake; to catch up with
起	rise
赸	jump
趁	avail oneself of
趄	slant; to incline
超	exceed
越	exceed
趋	hasten
趐	enter
趑	falter
趒	jump
趟	wade
趡	place name
趣	interesting
趦	unable to move
趫	nimble
趮	easily provoked, hasty
趯	jump
趱	hasten
足	excessive
趴	lie on one's stomach
趵	jump
趷	jolt
趸	wholesale
趹	gallop
趺	instep; tarsus
趼	callus
趾	toe
